Company Name,Price,High,Low,Pct Increase
Classic Global Finance and Capital Ltd.,0.25,0.33,0.19,31.57894737
Classic Globe Securities Ltd.,0.88,0.96,0.88,0
Classic Leasing & Finance Ltd.,13.39,13.39,3.02,343.3774834
Clio Infotech Ltd.,0.57,2.32,0.57,0
Clutch Auto Ltd.,6.32,19.2,6.32,0
Chandni Machines Ltd.,8.42,9.3,2.49,238.1526104
CMC Ltd.,2033.8,2314,1906,6.705141658
CMI Ltd.,31.75,72.45,19.5,62.82051282
CMI FPE Ltd.,744.95,1050,340,119.1029412
CNI Research Ltd.,1.75,2.26,1.25,40
Coal India Ltd.,128.7,215.65,109.5,17.53424658
Coastal Trawlers Ltd.,178.5,334.9,137,30.2919708
Coastal Roadways Ltd.,27.9,27.9,22.75,22.63736264
Cochin Malabar Ltd.,41.5,60.9,41.5,0
Cochin Minerals and Rutile Ltd.,117,177.7,77,51.94805195
Cochin Shipyard Ltd.,339.25,491.15,209,62.32057416
Coffee Day Enterprises Ltd.,26.05,230.6,14.05,85.40925267
COFORGE LIMITED Ltd.,2307.3,2813.05,739.05,212.1980921
Colgate Palmolive (India) Ltd.,1531.7,1602.45,1065.2,43.79459256
Colinz Laboratories Ltd.,7.91,10.22,4.8,64.79166667
Colorchips New Media Ltd.,4.7,26.45,4.6,2.173913043
Comfort Infotech Ltd.,6.3,7.67,2.21,185.0678733
Comfort Commotrade Ltd.,5.06,5.06,1.14,343.8596491
Comfort Fincap Ltd.,5.35,6.55,3.84,39.32291667
Commercial Engineers and Body Builders Co Ltd.,14.2,18.5,6.97,103.7302726
Commercial Syn Bags Ltd.,63.5,66,36.1,75.90027701
Commex Technology Ltd.,0.22,0.36,0.19,15.78947368
Compact Disc Ltd.,1.71,4.45,1.61,6.211180124
Competent Automobiles Company Ltd.,128,182,78.3,63.47381865
Compuage Infocom Ltd.,13.75,21,7.49,83.57810414
Compucom Software Ltd.,7.14,11.3,3.05,134.0983607
Computer Point (India) Ltd.,0.37,1.09,0.29,27.5862069
Conart Engineers Ltd.,23.95,29.9,15.3,56.53594771
Concord Drugs Ltd.,22.5,32.8,11.68,92.6369863
Concrete Credit Ltd.,3.96,7.49,3.96,0
Concurrent (India) Infrastructure Ltd.,1.13,3.18,0.96,17.70833333
Confidence Finance and Trading Ltd.,2.98,2.98,0.49,508.1632653
Confidence Futuristic Energetech Ltd.,42.75,66,42.75,0
Confidence Petroleum Ltd.,25.85,31.25,12.85,101.1673152
Consecutive Investment & Trading Company Ltd.,42.2,55.05,42.2,0
Constronics Infra Ltd.,4.67,5.36,3.98,17.33668342
Container Corporation of India Ltd.,409,605,263.2,55.39513678
Containerway International Ltd.,12.5,86.85,9.35,33.68983957
Contech Software Ltd.,1.52,1.52,0.95,60
Contil India Ltd.,10.75,10.9,4.75,126.3157895
Continental Chemicals Ltd.,19,23.15,10,90
Continental Petroleums Ltd.,16.05,25.4,5.06,217.1936759
Continental Securities Ltd.,10.15,17.23,5.81,74.69879518
Continental Controls Ltd.,2.6,4.45,1.65,57.57575758
Control Print Ltd.,221.05,301.9,150.9,46.48774023
Coral Hub Ltd.,0.71,4.29,0.71,0
Coral India Finance and Housing Ltd.,19.5,35.16,8.25,136.3636364
Coral Laboratories Ltd.,336.15,443.3,81.2,313.9778325
Coral Newsprints Ltd.,7.35,7.65,3.44,113.6627907
Cords Cable Industries Ltd.,42,58,22.1,90.04524887
CORE Education & Technologies Ltd.,1.77,7.89,1.67,5.988023952
Coromandel Agro Products and Oils Ltd.,2.58,2.58,2.58,0
Coromandel Engineering Company Ltd.,21.5,32.15,11.5,86.95652174
Coromandel International Ltd.,791.1,838,444.2,78.0954525
Corporate Courier and Cargo Ltd.,3.05,11.8,1.61,89.44099379
Corporate Merchant Bankers Ltd.,14.45,16.8,14.45,0
Corporation Bank,9.85,31.15,9.55,3.141361257
Cosboard Industries Ltd.,3.5,6.78,3.11,12.54019293
Cosco (India) Ltd.,83,109,50.75,63.54679803
Cosmo Ferrites Ltd.,7.9,8.21,3,163.3333333
Cosmo Films Ltd.,436.65,491,187.2,133.2532051
Cospower Engineering Ltd.,55,80,52,5.769230769
COSYN Ltd.,22.25,35.5,10.2,118.1372549
Country Club Hospitality & Holidays Ltd.,3.41,4.13,1.69,101.7751479
Country Condos Ltd.,2.84,4.44,0.95,198.9473684
Conventry Coil O Matic (Haryana) Ltd.,0.71,2.37,0.63,12.6984127
Cox & Kings Ltd.,1.39,2.31,0.48,189.5833333
CPSE ETF,17.9,24.48,11.55,54.97835498
Crane Infrastructure Ltd.,3.04,8.85,2.33,30.472103
Cranes Software International Ltd.,0.5,0.97,0.35,42.85714286
Cranex Ltd.,12.51,13.83,6.37,96.38932496
Cravatex Ltd.,273,549.75,230,18.69565217
Crazy Infotech Ltd.,0.19,0.21,0.19,0
Creative Castings Ltd.,425,462,230,84.7826087
Creative Eye Ltd.,2.9,4.59,0.95,205.2631579
Creative Merchants Ltd.,35.5,218.5,35.5,0
CreditAccess Grameen Ltd.,719.25,1000.8,305.75,135.2412101
Crescent Leasing Ltd.,1.76,5.35,1.36,29.41176471
Cressanda Solution Ltd.,0.3,0.37,0.19,57.89473684
Crest Animation Studios Ltd.,1.05,5.19,0.89,17.97752809
Crest Ventures Ltd.,86.85,114.4,44.6,94.7309417
Crestchem Ltd.,73.5,74.75,10.47,602.0057307
Crew B.O.S. Products Ltd.,2.62,8.18,2.62,0
Crimson Metal Engineering Company Ltd.,8.54,9.45,7.45,14.63087248
CRISIL Ltd.,2016.95,2125,1083.5,86.15136133
Crown Tours Ltd.,18.45,23.7,14,31.78571429
CRP Risk Management Ltd Ltd.,20.7,31.5,16,29.375
CSB Bank Ltd.,252.8,314.2,95,166.1052632
CSL Finance Ltd.,240,344.95,141.2,69.97167139
CTIL Ltd.,0.63,1.26,0.46,36.95652174
Cubex Tubings Ltd.,11.23,26.04,9.1,23.40659341
Cubical Financial Services Ltd.,2.15,2.36,0.71,202.8169014
Cummins India Ltd.,492.75,652.8,281.6,74.98224432
Cupid Ltd.,223.2,295,115,94.08695652
Cupid Trades Ltd.,16.3,167,15,8.666666667
Cura Technologies Ltd.,2.16,4.1,1.52,42.10526316
CESC Ventures Ltd.,252.6,389,112.05,125.4350736
Cybele Industries Ltd.,8.36,9.78,3.35,149.5522388
Cyber Media (India) Ltd.,2.73,6.28,2.5,9.2
Cybermate Infotek Ltd.,0.77,2.04,0.75,2.666666667
Cyberscape Multimedia Ltd.,2.9,3.05,2.7,7.407407407
Cybertech Systems and Software Ltd.,78.2,99.9,22.5,247.5555556
Cyient Ltd.,428.2,514,184.15,132.5278306
D & H India Ltd.,12.58,21.65,12,4.833333333
D-Link India Ltd.,107,136.05,51,109.8039216
Dabur India Ltd.,511.5,535.85,385.05,32.83989092
Dai-Ichi Karkaria Ltd.,264.6,349.3,155.75,69.88764045
Daikaffil Chemicals India Ltd.,29.45,44.85,15.05,95.68106312
Dalal Street Investments Ltd.,205.6,358.95,152,35.26315789
Dalmia Bharat Ltd.,982.6,989,406,142.0197044
Dalmia Industrial Development Ltd.,11.1,11.72,9.55,16.23036649
Dalmia Bharat Sugar and Industries Ltd.,129.95,156,40.3,222.4565757
Damodar Industries Ltd.,24.1,34.5,13.65,76.55677656
Danlaw Technologies India Ltd.,85.1,95,22.7,274.8898678
Darjeeling Ropeway Company Ltd.,3.54,106,3.37,5.044510386
Darshan Orna Ltd.,25.5,57.6,8.16,212.5
Datamatics Global Services Ltd.,71.5,89.75,28.1,154.4483986
Datasoft Application Software (India) Ltd.,2.04,2.04,0.95,114.7368421
Datiware Maritime Infra Ltd.,19,19,2,850
Daulat Securities Ltd.,2.92,5,2.25,29.77777778
Dazzel Confindive Ltd.,0.19,0.21,0.19,0
DB (International) Stock Brokers Ltd.,8.02,12.74,7.35,9.115646259
DB Corp Ltd.,76.5,150.5,59,29.66101695
DB Realty Ltd.,8.32,12.5,3.61,130.4709141
DCB Bank Ltd.,90.65,204.55,58.1,56.02409639
DEVOTED CONSTRUCTION LIMITED Ltd.,10.2,10.2,0,1020
DCM Ltd.,18.5,26.85,13.01,42.19830899
DCM Financial Ltd.,0.92,1.54,0.56,64.28571429
DCM Shriram Ltd.,340.1,431.1,175.8,93.45847554
DCM Shriram Industries Ltd.,171,196,83.95,103.6926742
DCW Ltd.,15.47,18.1,6.97,121.9512195
De Nora India Ltd.,206.9,256,112.2,84.40285205
Deccan Bearings Ltd.,4.51,5.5,4.1,10
Deccan Cements Ltd.,363.35,366,146.6,147.851296
Deccan Gold Mines Ltd.,14.27,30.7,10.8,32.12962963
Deccan Health Care Ltd.,33.35,87.5,19.05,75.0656168
Deccan Polypacks Ltd.,3.27,3.27,1.86,75.80645161
Deccan Chronicle Holdings Ltd.,2.07,3.16,1.6,29.375
Decillion Finance Ltd.,11.55,11.55,10.8,6.944444444
DECIPHER LABS Ltd.,21.55,34.15,17.95,20.05571031
Deco Mica Ltd.,9.22,15.1,8.89,3.712035996
Decolight Ceramics Ltd.,1.15,4.35,1.15,0
Decorous Investment & Trading Co. Ltd.,14.22,14.96,10,42.2
Dee-Kartavya Ltd.,90.1,115.25,9.99,801.9019019
Deep Diamond India Ltd.,14.1,14.15,10.1,39.6039604
Deep Energy Resources Ltd.,39.95,130,36.85,8.412483039
Deep Polymers Ltd.,64,89,50.5,26.73267327
Deepak Fertilizers and Petrochemicals Coprn Ltd.,142.4,182.01,53.79,164.7332218
Deepak Fertilisers & PC - RE Ltd.,13.45,149.1,11,22.27272727
Deepak Nitrite Ltd.,802.6,888,310,158.9032258
Deepak Spinners Ltd.,69.4,92,53.9,28.75695733
Delta Manufacturing Ltd.,19.05,45,17,12.05882353
Delta Corp Ltd.,132.4,224.75,54,145.1851852
Delta Industrial Resources Ltd.,2,3.4,1.13,76.99115044
Delta Leasing and Finance Ltd.,2.57,4.88,2.5,2.8
Delton Cables Ltd.,30.95,50.65,17.8,73.87640449
Deltron Ltd.,11.73,45.55,11.73,0
Den Networks Ltd.,68.55,115.05,25.85,165.1837524
Dena Bank,12.59,21.7,10.5,19.9047619
Denis Chem Lab Ltd.,40.25,59.35,17.1,135.380117
Denso India Ltd.,142.7,142.75,36.5,290.9589041
Desh Rakshak Aushadalaya Ltd.,4.29,6.77,4.09,4.88997555
Devhari Exports (India) Ltd.,2.05,5.3,2.05,0
Devika Finstocks Ltd.,3.45,15.25,2.96,16.55405405
Devine Impex Ltd.,3.25,5.61,2.78,16.90647482
Devki Leasing and Finance Ltd.,1.2,1.71,1,20
Dewan Housing Finance Corporation Ltd.,18.45,26.9,8.4,119.6428571
DFL Infrastructure Finance Ltd.,0.72,0.73,0.7,2.857142857
DFM Foods Ltd.,352.2,390,150,134.8
Dhabriya Polywood Ltd.,30.95,56.25,24.05,28.69022869
Dhampur Sugar Mills Ltd.,145,246,65.8,120.3647416
Dhampure Specialty Sugars Ltd.,18,19.08,9.36,92.30769231
Dhan Jeevan Ltd.,7.67,10.6,4.34,76.7281106
Dhanada Corporation Ltd.,2.62,5.05,0.79,231.6455696
Dhanalaxmi Cotex Ltd.,12.02,26.05,12.02,0
Dhani Services - PP Ltd.,101,107.1,62.8,60.82802548
Dhani Services Ltd.,207.05,277,50.5,310
Dhanlaxmi Bank Ltd.,12.29,17.93,7.42,65.63342318
Dhanlaxmi Fabrics Ltd.,22.75,27.9,11.2,103.125
Dhanlaxmi Roto Sp Ltd.,20.85,24,9.76,113.6270492
Dhanleela Investments & Trading Company Ltd.,77.5,80.5,55.88,38.69005011
Dhanuka Agritech Ltd.,708.95,935,261,171.6283525
Dhanus Technologies Ltd.,0.08,0.24,0.04,100
Dhanvarsha Finvest Ltd.,293.8,316,57,415.4385965
Dhar Textile Mills Ltd.,2.41,6.82,2.41,0
Dharamsi Morarji Chemical Company Ltd.,149.4,178,52.05,187.0317003
Dharani Finance Ltd.,5.38,5.59,1.36,295.5882353
Dharani Sugars and Chemicals Ltd.,4.44,8.87,3.97,11.83879093
Dhenu Buildcon India Ltd.,1.39,2.09,1.39,0
Dhoot Industrial Finance Ltd.,30.3,33.95,11,175.4545455
DHP India Ltd.,359.95,511.4,221.05,62.83646234
Dhruv Consultancy Services Ltd.,16,37,13.9,15.10791367
Dhruv Estates Ltd.,13.07,26.6,13.07,0
Dhruv Wellness Ltd.,82.85,87.85,71.5,15.87412587
Dhruva Capital Services Ltd.,2.94,7.07,2.8,5
Dhunseri Investments Ltd.,245,298.85,108,126.8518519
Dhunseri Tea & Industries Ltd.,264.7,305,90.1,193.7846837
Dhunseri Ventures Ltd.,62.95,79.95,42.55,47.94359577
Dhyana Finstock Ltd.,135.3,406,135.3,0
Diamant Infrastructure Ltd.,0.22,0.74,0.19,15.78947368
Diamines and Chemicals Ltd.,360,562.45,106.6,237.7110694
Diamond Infosystems Ltd.,0.72,1.82,0.7,2.857142857
Diamond Power Infrastructure Ltd.,0.69,1.12,0.44,56.81818182
Diana Tea Company Ltd.,12.6,15.13,5.13,145.6140351
DIC India Ltd.,369.9,450,242,52.85123967
Diggi Multitrade Ltd.,8.5,14,7.94,7.052896725
Digicontent Ltd.,10.09,15.03,3.55,184.2253521
Digispice Technologies Ltd.,8.08,10.56,3.3,144.8484848
Digjam Ltd.,2.74,4.96,0.8,242.5
Diksat Transworld Ltd.,109.5,129.95,84.35,29.81624185
Diksha Greens Ltd.,19.45,83,19.45,0
Diligent Industries Ltd.,4.21,4.21,3.64,15.65934066
Diligent Media Corporation Ltd.,0.34,0.76,0.31,9.677419355
Dilip Buildcon Ltd.,361.45,441.5,193.4,86.89245088
Dion Global Solutions Ltd.,2.25,4.95,2.07,8.695652174
Disa India Ltd.,3576,5605,2700,32.44444444
Dish TV India Ltd.,10.43,19.38,3.93,165.394402
Dishman Carbogen Amcis Ltd.,144.75,216.65,46.45,211.6254037
Dishman Pharmaceuticals & Chemicals Ltd.,301.05,346.25,203.4,48.00884956
Divine Multimedia (India) Ltd.,0.4,1,0.38,5.263157895
Divinus Fabrics Ltd.,35,41,25.4,37.79527559
Divis Laboratories Ltd.,3428.25,3484.7,1627.15,110.6904711
Divya Jyoti Industries Ltd.,4.45,6.04,4.45,0
Divyashakti Granites Ltd.,40,72,19.4,106.185567
Dixon Technologies Ltd.,10120.95,10790,2899.95,249.0042932
DJ Mediaprint & Logistics Ltd Ltd.,40,41.75,31.7,26.1829653
DJS Stock and Shares Ltd.,0.97,1.36,0.56,73.21428571
DLF Ltd.,188.2,266.65,114.5,64.36681223
DMC Education Ltd.,0.7,0.97,0.48,45.83333333
DCM NOUVELLE LIMITED Ltd.,28.55,38.4,20.35,40.29484029
Dolat Investments Ltd.,47.85,72,27.45,74.31693989
Dolfin Rubbers Ltd.,45,72.9,36,25
Dollar Industries Ltd.,170.25,197.35,94,81.11702128
Dollex Industries Ltd.,4.45,5.13,2.21,101.3574661
Dolphin Medical Services Ltd.,1.1,1.8,0.39,182.0512821
Dolphin Offshore Enterprises (I) Ltd.,4.18,47.25,4.18,0
Donear Industries Ltd.,24.9,34.35,18.3,36.06557377
DOT COM Global Ltd.,0.67,3.57,0.67,0
DQ Entertainment International Ltd.,1.14,2.84,0.65,75.38461538
Dr Agrawals Eye Hospital Ltd.,242,320,169.2,43.02600473
Dr. Datson Labs Ltd.,6.29,21.5,5.48,14.7810219
Dr Lal PathLabs Ltd.,2142.05,2395,1181.8,81.25317313
Dr Lalchandani Labs Ltd.,15.25,21.75,6.75,125.9259259
Dr Reddys Laboratories Ltd.,4785.3,5514.65,2497.6,91.59593209
DRA Consultants Ltd.,8.04,15.6,5.33,50.84427767
Dredging Corporation India Ltd.,251.15,412,121.8,106.1986864
D.S. Kulkarni Developers Ltd.,13.6,69.75,13.6,0
DSJ Communication Ltd.,0.36,0.9,0.31,16.12903226
DSM Agro Products Ltd.,2.1,4.6,1.91,9.947643979
DSP Liquid ETF,1000,1010,997.3,0.270730974
Ducon Infratechnologies Ltd.,4.59,7.28,2.3,99.56521739
Dugar Housing Development Finance (India) Ltd.,4.2,4.2,4,5
Dujodwala Paper Chemicals Ltd.,6.65,14.09,6,10.83333333
Duke Offshore Ltd.,7.85,17,3.9,101.2820513
Duncan Engineering Ltd.,98,137,67,46.26865672
Duncans Industries Ltd.,9.1,17.05,7.51,21.17177097
Dune Mercantile Ltd.,3.76,4.54,3.76,0
Dunlop India Ltd.,10.41,31.6,10.11,2.96735905
Duro Pack Ltd.,9.35,18,9.21,1.520086862
Duroply Industries Ltd.,47.3,63,20,136.5
Dutron Polymers Ltd.,143,145,82.25,73.86018237
Dwarikesh Sugar Industries Ltd.,28.1,42.05,13.3,111.2781955
Dwekam Industries Ltd.,9.2,11.79,3.01,205.6478405
Dwitiya Trading Ltd.,2.4,59.65,2.38,0.840336134
Dynacons Systems and Solutions Ltd.,37.35,54.6,12.65,195.256917
Dynamatic Technologies Ltd.,715,1285.6,424.05,68.61219196
Dynamic Archistructures Ltd.,12.5,12.5,10,25
Dynamic Cables Ltd.,26.9,42.65,15.6,72.43589744
Dynamic Industries Ltd.,41,63.95,27.5,49.09090909
Dynamic Microsteppers Ltd.,9.75,9.75,5.25,85.71428571
Dynamic Portfolio Management & Services Ltd.,2.85,3.46,1.56,82.69230769
Dynavision Ltd.,46,54.4,27.1,69.74169742
Dynemic Products Ltd.,248.9,284.5,84.25,195.4302671
E-Land Apparel Ltd.,6.18,6.9,2.87,115.3310105
Earum Pharmaceuticals Ltd.,87.5,87.5,42.5,105.8823529
East Buildtech Ltd.,9.79,11.3,7.32,33.7431694
East Coast Steel Ltd.,69.65,85.45,69.65,0
East India Securities Ltd.,1004,1070,994,1.006036217
East West Holdings Ltd.,63,101,39,61.53846154
Eastern Gases Ltd.,9.43,62.95,9.43,0
Eastern Silk Industries Ltd.,1.02,1.5,0.52,96.15384615
Eastern Sugar and Industries Ltd.,1.08,1.21,0.55,96.36363636
Eastern Treads Ltd.,32.25,47,15.95,102.1943574
Easun Reyrolle Ltd.,2.57,4,1.57,63.69426752
EBIXCASH WORLD MONEY INDIA Ltd.,536.05,600,240.25,123.1217482
ECE Industries Ltd.,140,187.5,103.5,35.26570048
eClerx Services Ltd.,715.5,814.65,323.15,121.4142039
Easun Capital Markets Ltd.,17.9,17.9,0,1790
Eco Friendly Food Processing Park Ltd.,10.62,15.45,10.62,0
Eco Recycling Ltd.,40.15,62.95,20.1,99.75124378
Ecoboard Industries Ltd.,4.3,5.42,1.75,145.7142857
Econo Trade India Ltd.,6.5,8,2.24,190.1785714
Ecoplast Ltd.,79.05,114.45,69,14.56521739
ECS Biztech Ltd.,3.2,4.95,2.55,25.49019608
Edelweiss Financial Services Ltd.,57.65,134.25,29.9,92.80936455
Edelweiss Nifty Exchange Traded Scheme Ltd.,16250,16442,7572.3,114.5979425
Edserv Softsystems Ltd.,2.07,7.24,2,3.5
Educomp Solutions Ltd.,2.66,6.32,0.76,250
Eduexel Infotainment Ltd.,1.62,2.1,1.62,0
Edynamics Solutions Ltd.,0.27,0.39,0.19,42.10526316
Effingo Textile & Trading Ltd.,56.45,110.25,56.45,0
Eicher Motors Ltd.,2545.8,2587.45,1246,104.317817
EICL Ltd.,47.15,55.45,38,24.07894737
EID Parry (India) Ltd.,299.95,325.4,100,199.95
EIH Ltd.,88.2,158.54,53.65,64.39888164
EIH - RE Ltd.,9.1,78.1,7.5,21.33333333
EIH Associated Hotels Ltd.,258,329.8,164.1,57.22120658
Eimco Elecon (India) Ltd.,318.95,406.2,180,77.19444444
Ejecta Marketing Ltd.,0.4,0.51,0.19,110.5263158
Ekam Leasing and Finance Company Ltd.,3.8,4.26,3.6,5.555555556
El Forge Ltd.,4.3,8.35,3.78,13.75661376
Elango Industries Ltd.,1.95,3.57,1.95,0
Elantas Beck India Ltd.,2450,3199,1580,55.06329114
Elcid Investments Ltd.,13.38,13.38,7.14,87.39495798
Eldeco Hous Ltd.,1257.05,1650.95,678.05,85.39193275
Elder Healthcare Ltd.,8.55,30,6.2,37.90322581
Elder Pharmaceuticals Ltd.,38,118.8,20.35,86.73218673
Elder Projects Ltd.,20.15,33.05,20.15,0
Elecon Engineering Company Ltd.,29.3,43.65,13.75,113.0909091
Electrosteel Castings Ltd.,20.85,27,7.56,175.7936508
Electrosteel Steels Ltd.,31.05,78.1,0.83,3640.963855
Electrotherm (India) Ltd.,91.8,169.8,69,33.04347826
Elegant Floriculture and Agrotech (India) Ltd.,2.16,6.84,2.14,0.934579439
Elegant Marble and Granite Industries Ltd.,62.5,99.95,52,20.19230769
Elgi Equipments Ltd.,118.6,141.5,51.13,131.9577547
Elgi Rubber Company Ltd.,15.1,15.6,6.5,132.3076923
ELITECON INTERNATIONAL Ltd.,10,10,10,0
Elixir Capital Ltd.,22.2,40.4,21,5.714285714
Ellenbarrie Industrial Gases Ltd.,310,388,310,0
Elnet Technologies Ltd.,115.75,152,66.25,74.71698113
Elpro International Ltd.,40,50.8,28.45,40.59753954
Eltrol Ltd.,0.26,0.37,0.2,30
EMA India Ltd.,1.7,4.94,1.7,0
Emami Ltd.,382,407,140.85,171.2105076
Emami Paper Mills Ltd.,65.75,157.95,47.45,38.56691254
Emami Realty Ltd.,45.8,82.8,22.6,102.6548673
Embassy Office Parks REIT Ltd.,338.3,518,301,12.39202658
Emco Ltd.,1.15,2.62,0.37,210.8108108
Emed.com Technologies Ltd.,2.35,7.64,1.62,45.0617284
Emerald Leasing Finance & Investment Company Ltd.,12.15,13.74,5.73,112.0418848
Emgee Cables and Communications Ltd.,2.94,12.95,2.82,4.255319149
Emkay Global Financial Services Ltd.,65.95,80.9,24,174.7916667
Emmbi Industries Ltd.,73.9,141.05,41.1,79.8053528
Emmessar Biotech And Nutrition Ltd.,16.89,18.32,9.2,83.58695652
Emmsons International Ltd.,1.2,4.74,0.95,26.31578947
Empee Distilleries Ltd.,4.52,8.26,2.71,66.7896679
Empee Sugars and Chemicals Ltd.,0.58,2.1,0.53,9.433962264
Empire Industries Ltd.,608.1,890,469,29.65884861
Emporis Projects Ltd.,1.36,4.82,0.72,88.88888889
Empower India Ltd.,0.15,0.2,0.15,0
Emtex Industries (India) Ltd.,1.54,5.35,1.54,0
Enbee Trade & Finance Ltd.,77.4,92,77.4,0
Encash Entertainment Ltd.,25.85,40.55,25.85,0
Encore Software Ltd.,7.1,7.99,3.66,93.98907104
Endurance Technologies Ltd.,1029,1201.9,562,83.09608541
Energy Development Company Ltd.,6.2,9.1,3.35,85.07462687
Engineers India Ltd.,70.75,109.7,49.85,41.92577733
Enkay Texofood Industries Ltd.,10,7.95,2.15,365.1162791
Enkei Wheels (India) Ltd.,254.2,384,147.75,72.04737733
Ennore Coke Ltd.,2.05,4.2,1.9,7.894736842
Ensa Steel and Developers Ltd.,2.5,5.61,2.38,5.042016807
Entertainment Network India Ltd.,148.8,277.5,101,47.32673267
Entegra Ltd.,1.9,2.22,1.65,15.15151515
Enterprises International Ltd.,5.74,6.75,4,43.5
Envair Electrodyne Ltd.,25.65,35.9,16.3,57.36196319
Eon Electric Ltd.,6.97,21.9,5.45,27.88990826
EPIC Energy Ltd.,5,8.05,3.57,40.05602241
Epic Enzymers Pharmaceuticals and Industrial Chem Ltd.,1.71,2.64,1.43,19.58041958
EPL Ltd.,262,318.75,126.1,107.7716098
Epsom Properties Ltd.,6.85,7.5,3.94,73.85786802
Equitas Small Finance Bank Ltd.,34.25,34.75,30.1,13.78737542
Equitas Holdings Ltd.,51.95,120.5,32.75,58.6259542
Era Buildsys Ltd.,9.19,11.08,6.4,43.59375
Era Infra Engineering Ltd.,1.43,4.67,1.4,2.142857143
Eris Lifesciences Ltd.,530,593.4,341.05,55.40243366
Eros International Media Ltd.,18.15,30.4,7.17,153.1380753
ERP Soft Systems Ltd.,75,75.25,74.6,0.536193029
Esaar (India) Ltd.,2.33,2.33,0.49,375.5102041
Esab India Ltd.,1353.6,1727,870,55.5862069
Escorp Asset Management Ltd.,16.25,18,15.05,7.973421927
Escorts Ltd.,1422,1433.6,527.1,169.7780307
Escorts Finance Ltd.,3.45,4.86,1.36,153.6764706
Esha Media Research Ltd.,5.5,5.5,2.58,113.1782946
Eskay Knit Ltd.,0.19,0.22,0.19,0
ESS DEE Aluminium Ltd.,1.79,22.45,1.79,0
Essar Oil Ltd.,262.6,263.3,100,162.6
Essar Ports Ltd.,130.7,150.4,80,63.375
Essar Securities Ltd.,2.53,3.23,1,153
Essar Shipping Ltd.,7.65,12.8,4.6,66.30434783
Esteem Bio Organic Food Processing Ltd.,5.41,9.9,5.41,0
Ester Industries Ltd.,114,134.9,22.65,403.3112583
ETT Ltd.,39.85,44,13.52,194.7485207
Eureka Industries Ltd.,2.34,3,2.23,4.932735426
Euro Ceramics Ltd.,3.09,3.32,0.55,461.8181818
Euro Leder Fashion Ltd.,19,29.45,15.25,24.59016393
Euro Multivision Ltd.,1.52,1.77,0.53,186.7924528
Eurotex Industries and Exports Ltd.,8.05,12.79,3.85,109.0909091
Evans Electric Ltd.,220,300,115,91.30434783
Eveready Industries India Ltd.,167,174,45.15,269.8781838
Everest Industries Ltd.,276.6,346.65,120,130.5
Everest Kanto Cylinder Ltd.,34,35,9.45,259.7883598
Everest Marketing Ltd.,14.25,14.42,3.43,315.451895
Everest Organics Ltd.,224.95,335,80,181.1875
Evergreen Textiles Ltd.,13.71,13.06,11.85,15.69620253
Everlon Synthetics Ltd.,10.71,17.1,9,19
Everonn Education Ltd.,12.25,36.35,9.7,26.28865979
Excel Industries Ltd.,858.95,1024.5,374.5,129.3591455
Excel Castronics Ltd.,0.42,2.7,0.42,0
Excel Crop Care Ltd.,3188.25,4511,2491.45,27.96764936
Excel Glasses Ltd.,0.92,1.91,0.77,19.48051948
Excel Realty N Infra Ltd.,1.12,1.41,0.82,36.58536585
Exdon Trading Company Ltd.,270.4,381.45,14.35,1784.320557
Exelon Infrastructure Ltd.,0.67,3.84,0.67,0
Exide Industries Ltd.,170.35,208.1,121.9,39.74569319
Exotic Coal Ltd.,3.61,13.99,3.04,18.75
Expleo Solutions Ltd.,475,642.65,112.4,322.5978648
Explicit Finance Ltd.,1.72,2.35,1.72,0
Expo Gas Containers Ltd.,3.63,3.63,1.65,120
Extol Commercial Ltd.,35.95,9,1.9,1792.105263
F Mec International Financial Services Ltd.,3.4,3.75,3.2,6.25
Facor Alloys Ltd.,1.42,2.13,1,42
Facor Steels Ltd.,0.27,0.35,0.26,3.846153846
Fact Enterprise Ltd.,0.46,1.85,0.43,6.976744186
Fairdeal Filaments Ltd.,95,157.95,72,31.94444444
Fairfield Atlas Ltd.,241,242.85,95.4,152.6205451
Falcon Tyres Ltd.,6.7,12.76,5.15,30.09708738
Fame India Ltd.,35.05,59.5,34.7,1.008645533
Farmax India Ltd.,0.09,0.15,0.09,0
Fast Track Entertainment Ltd.,0.58,2.19,0.55,5.454545455
Faze Three Autofab Ltd.,53.9,62.25,12.2,341.8032787
Faze Three Exports Ltd.,56.05,71.95,20.35,175.4299754
FCS Software Solutions Ltd.,0.43,0.58,0.19,126.3157895
FDC Ltd.,325.25,378,165.65,96.3477211
FE (India) Ltd.,2.4,2.4,2.11,13.74407583
Fedders Electric and Engineering Ltd.,4.6,56.5,4.37,5.263157895
Federal Bank Ltd.,58,96.95,35.7,62.46498599
Federal-Mogul Goetze Ltd.,285.2,664.9,239.3,19.18094442
Future Enterprises Ltd.,11.6,30.95,9.13,27.05366922
Fenoplast Ltd.,15.4,23.7,14.7,4.761904762
Fermenta Biotech Ltd.,339.55,442,151,124.8675497
Ferro Alloys Corporation Ltd.,0.92,5.58,0.92,0
Fertilisers and Chemicals Travancore Ltd.,50.2,55.6,21.55,132.9466357
Fervent Synergies Ltd.,7.7,24,7.22,6.648199446
FGP Ltd.,0.92,2.15,0.84,9.523809524
Fiberweb India Ltd.,25.6,34.35,8.89,187.9640045
